								
	DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA	
	23	2	1	2026	6:37:00	Georgetown	EEUU	Luz
	22	31	12	2025	4:14	Darwen	Reino Unido	Luz
	21	28	12	2025	2:05	San Diego	EEUU	Luz
	20	27	12	2025	20:00	Westlock	Canadá	Luz
	18	27	12	2025	17:30	Helen	EEUU	Luz
	18	26	12	2025	18:37	Ladysmith	EEUU	Luz
	18	25	12	2025	5:40	Lake Elsinore	EEUU	Luz
	16	24	12	2025	20:00	Windhoek	Namibia	Luz
	16	23	12	2025	23:37	Edimburgo	Reino Unido	Luz
	15	22	12	2025	22:46	Missoula	EEUU	Luz
	15	21	12	2025	4:10	Tierras bajas	EEUU	Luz
	13	20	12	2025	22:00	Kerrobert	Canadá	Luz
	12	18	12	2025	20:45	South Glens Falls	EEUU	Luz
	11	18	12	2025	17:30	Bensalem	EEUU	Luz
	11	18	12	2025	7:00	Newport-on-Tay	Reino Unido	Luz
	11	16	12	2025	17:58	Altamont	EEUU	Luz
	8	16	12	2025	3:30	Fuerte Pierce	EEUU	Luz
	8	15	12	2025	20:50	Saarbrücken	Alemania	Luz
	8	15	12	2025	0:03	Tikamgarh	India	Luz
	7	13	12	2025	10:37	Otisville	EEUU	Luz
	7	12	12	2025	19:22:00	Palm Coast	EEUU	Luz
	6	11	12	2025	7:55:00	Bury St Edmunds	Reino Unido	Luz
	5	11	12	2025	4:00:00	Lockport	EEUU	Luz
	4	11	12	2025	2:25:00	Lemesos	Chipre	Luz
	4	8	12	2025	22:00:00	Checotah	EEUU	Luz
	3	8	12	2025	20:30:00	Kapuskasing	Canadá	Luz
	3	8	12	2025	18:51:00	Weatherford	EEUU	Luz
	2	7	12	2025	21:30:00	El Paso	EEUU	Luz
	2	7	12	2025	18:05:00	Ashton	EEUU	Luz
	2	6	12	2025	3:45:00	Perdiz	EEUU	Luz
	1	5	12	2025	6:05:00	Ciudad de Panamá	Panamá	Luz
	1	4	12	2025	22:28:00	Bainbridge	EEUU	Luz
	1	4	12	2025	20:45:00	Lenhartsville	EEUU	Luz
	28	3	12	2025	21:15:00	Vale	EEUU	Luz
	28	3	12	2025	6:00:00	Hesperia	EEUU	Luz
	28	2	12	2025	20:46:00	Municipio de Hamilton	EEUU	Luz
	27	2	12	2025	18:29:00	Christiansted	Islas Vírgenes de EE. UU.	Luz
	26	2	12	2025	17:52:00	Bartlesville	EEUU	Luz
	24	1	12	2025	21:00:00	Jamestown	EEUU	Luz
	23	1	12	2025	19:02:00	Gebele	Azerbaiyán	Luz
	23	1	12	2025	17:45:00	Tolland	EEUU	Luz
	22	28	11	2025	22:10	Marina	EEUU	Luz
	22	28	11	2025	18:41	Dungannon	Reino Unido	Luz
	21	28	11	2025	13:00	Glenside	EEUU	Luz
	20	27	11	2025	17:47	East Brunswick	EEUU	Luz
	19	26	11	2025	23:00	Morehead	Canadá	Luz
	18	24	11	2025	16:37	Swinton	Reino Unido	Luz
	17	23	11	2025	20:00	Davenport	EEUU	Luz
	16	23	11	2025	19:30	Ingram	EEUU	Luz
	16	22	11	2025	22:45	Invercargill	Nueva Zelanda	Luz
	16	22	11	2025	19:30	Cambridge	EEUU	Luz
	16	21	11	2025	23:00	Playa Naranja	EEUU	Luz
	15	20	11	2025	20:00	Bridgenorth	Canadá	Luz
	14	19	11	2025	20:00	Roanoke	EEUU	Luz
	14	18	11	2025	20:54	Boa Vista	Brasil	Luz
	12	17	11	2025	18:49	Greensburg	EEUU	Luz
	11	16	11	2025	22:00	Madison Heights	EEUU	Luz
	11	16	11	2025	20:00	Hartford	EEUU	Luz
	10	16	11	2025	17:45	Colón	EEUU	Luz
	9	16	11	2025	17:39	Berthoud	EEUU	Luz
	9	15	11	2025	19:30	Dunoon	Reino Unido	Luz
	8	14	11	2025	22:10	Tallahassee	EEUU	Luz
	7	14	11	2025	18:45	Brooklyn	EEUU	Luz
	7	12	11	2025	20:41:00	Castle Rock	EEUU	Luz
	7	11	11	2025	20:25:00	Bethel	EEUU	Luz
	6	11	11	2025	18:15:00	Lagos Lino	EEUU	Luz
	6	10	11	2025	1:45:00	Perth	Australia	Luz
	6	9	11	2025	23:30:00	Eugene	EEUU	Luz
	5	9	11	2025	17:00:00	Tadcaster	Reino Unido	Luz
	5	8	11	2025	19:53:00	Matsumoto	Japón	Luz
	4	7	11	2025	20:57:00	Atecoxco	México	Luz
	4	7	11	2025	20:25:00	Fetardo	Irlanda	Luz
	4	7	11	2025	0:47:00	Madrid	España	Luz
	4	6	11	2025	21:15:00	San Agustín	EEUU	Luz
	4	6	11	2025	6:20:00	Windham	EEUU	Luz
	4	6	11	2025	1:56:00	Las Vegas	EEUU	Luz
	3	5	11	2025	20:10:00	Central City	EEUU	Luz
	1	5	11	2025	18:18:00	Huntsville	EEUU	Luz
	1	4	11	2025	18:09:00	Warminster	EEUU	Luz
	1	4	11	2025	18:05:00	Clymer	EEUU	Luz
	1	4	11	2025	18:05:00	Norwich	EEUU	Luz
	30	4	11	2025	18:00:00	Glen Cove	EEUU	Luz
	29	4	11	2025	18:00:00	Manchester	EEUU	Luz
	29	4	11	2025	3:00:00	McAlester	EEUU	Luz
	29	3	11	2025	15:00:00	Parque Nacional Big Bend	EEUU	Luz
	28	1	11	2025	20:40:00	Hillsboro	EEUU	Luz
	28	1	11	2025	17:00:00	Hastings	EEUU	Luz
	27	1	11	2025	12:28:00	Landisville	EEUU	Luz
	27	1	11	2025	6:01:00	Valle de Yucca	EEUU	Luz
	26	30	10	2025	19:20	Jonesboro	EEUU	Luz
	25	29	10	2025	20:08	Leslie	Reino Unido	Luz
	24	29	10	2025	18:28	No especificado	Irlanda	Luz
	23	29	10	2025	3:30	Florencia	EEUU	Luz
	23	28	10	2025	19:30	Angora	EEUU	Luz
	22	28	10	2025	3:48	Payson	EEUU	Luz
	22	27	10	2025	19:00	Pensacola	EEUU	Luz
	22	27	10	2025	5:40	Goshen	EEUU	Luz
	22	26	10	2025	6:17	Niceville	EEUU	Luz
	22	25	10	2025	21:28	No especificado	Reino Unido	Luz
	21	24	10	2025	1:05	Birkenhead	Reino Unido	Luz
	20	23	10	2025	19:44	Townsend	EEUU	Luz
	20	23	10	2025	6:10	Spokane	EEUU	Luz
	20	22	10	2025	23:23	Chapecó	Brasil	Luz
	20	22	10	2025	22:30	East Palo Alto	EEUU	Luz
	19	22	10	2025	19:50	Oceanside	EEUU	Luz
	18	22	10	2025	19:48	Benton	EEUU	Luz
	18	22	10	2025	0:55	Rockledge	EEUU	Luz
	17	21	10	2025	22:02	Wichita	EEUU	Luz
	17	20	10	2025	20:20	Goodlettsville	EEUU	Luz
	16	20	10	2025	19:40	Palm City	EEUU	Luz
	15	20	10	2025	7:34	London	Reino Unido	Luz
	15	20	10	2025	6:50	Nampa	EEUU	Luz
	13	19	10	2025	19:00	Lenox	EEUU	Luz
	13	18	10	2025	21:00	Kirkland	EEUU	Luz
	13	18	10	2025	18:20	Saint-Maurice	Canadá	Luz
	11	17	10	2025	22:30	Guirnalda	EEUU	Luz
	11	17	10	2025	20:34	Faro	Portugal	Luz
	10	16	10	2025	5:31	Oroville	EEUU	Luz
	10	15	10	2025	22:01	Owasso	EEUU	Luz
	9	15	10	2025	20:34	Clarksville	EEUU	Luz
	8	13	10	2025	23:15	Los Coros	Argentina	Luz
	8	13	10	2025	22:04	Nuevo Tazewell	EEUU	Luz
	8	13	10	2025	19:06	Playa de Pompano	EEUU	Luz
	7	11	10	2025	20:50:00	Chiltern	Australia	Luz
	6	11	10	2025	5:00:00	Corpus Christi	EEUU	Luz
	6	10	10	2025	21:45:00	Spokane	EEUU	Luz
	5	10	10	2025	21:20:00	Stringtown	EEUU	Luz
	5	9	10	2025	9:30:00	Cardwell	EEUU	Luz
	5	8	10	2025	21:30:00	Playa de Santa Rosa	EEUU	Luz
	4	8	10	2025	21:19:00	Narrowsburg	EEUU	Luz
	4	8	10	2025	18:43:00	Lima	Perú	Luz
	3	7	10	2025	2:35:00	Varsovia	EEUU	Luz
	1	6	10	2025	4:00:00	Maxwell	EEUU	Luz
	1	6	10	2025	2:00:00	Doha	Qatar	Luz
	30	5	10	2025	21:50:00	Tesuque	EEUU	Luz
	29	5	10	2025	19:05:00	Wichita	EEUU	Luz
	29	5	10	2025	5:53:00	Arapahoe	EEUU	Luz
	28	4	10	2025	21:15:00	Florissant	EEUU	Luz
	28	4	10	2025	19:30:00	Port Austin	EEUU	Luz
	28	3	10	2025	21:30:00	Johnson City	EEUU	Luz
	28	1	10	2025	22:30:00	Chania	Grecia	Luz
	26	1	10	2025	19:30:00	Swansea	EEUU	Luz
	25	30	9	2025	16:53	Trussville	EEUU	Luz
	24	29	9	2025	21:28	No especificado	Arabia Saudí	Luz
	22	29	9	2025	17:50	Brazo de la Capilla	Canadá	Luz
	21	28	9	2025	21:30	Atenas	EEUU	Luz
	21	28	9	2025	19:33	Quinton	EEUU	Luz
	21	28	9	2025	4:00	Cleveland	EEUU	Luz
	19	28	9	2025	0:00	Birsay	Canadá	Luz
	18	26	9	2025	5:00	No especificado	Australia	Luz
	17	25	9	2025	0:49	Manantiales del Valle	EEUU	Luz
	17	24	9	2025	8:45	Hayward	EEUU	Luz
	17	22	9	2025	21:20	Iyanbito	EEUU	Luz
	16	21	9	2025	21:00	Boise	EEUU	Luz
	15	21	9	2025	12:20	Tewkesbury	Reino Unido	Luz
	15	21	9	2025	6:56	Ocala	EEUU	Luz
	15	19	9	2025	21:03	Filadelfia	EEUU	Luz
	13	18	9	2025	19:30	Piracicaba	Brasil	Luz
	13	17	9	2025	20:30	No especificado	No especificado	Luz
	12	17	9	2025	18:18	淡水區	Taiwán	Luz
	12	17	9	2025	4:15	Cowpens	EEUU	Luz
	12	16	9	2025	3:30	Ammon	EEUU	Luz
	11	15	9	2025	19:59	No especificado	Reino Unido	Luz
	11	15	9	2025	4:40	Boyds	Canadá	Luz
	8	15	9	2025	0:15	Croydon	Australia	Luz
	7	13	9	2025	23:35	Alma	EEUU	Luz
	7	13	9	2025	18:50	Sur de Jordania	EEUU	Luz
	7	12	9	2025	23:21:00	Melissa	EEUU	Luz
	6	12	9	2025	23:05:00	Pawling	EEUU	Luz
	6	12	9	2025	20:30:00	Lincoln	EEUU	Luz
	5	11	9	2025	21:50:00	Cisco	EEUU	Luz
	4	11	9	2025	19:40:00	Arlington	EEUU	Luz
	3	8	9	2025	21:00:00	Playa Myrtle	EEUU	Luz
	3	7	9	2025	22:30:00	Saint-Didier-au-Mont-d'Or	Francia	Luz
	3	7	9	2025	20:50:00	Atenas	EEUU	Luz
	3	7	9	2025	3:25:00	Toowoomba	Australia	Luz
	2	6	9	2025	20:55:00	Las Vegas	EEUU	Luz
	1	6	9	2025	1:18:00	Batavia	EEUU	Luz
	1	5	9	2025	17:30:00	Thatcher	EEUU	Luz
	1	4	9	2025	20:44:00	Cape Coral	EEUU	Luz
	31	3	9	2025	17:50:00	Rutherglen	Reino Unido	Luz
	29	3	9	2025	5:42:00	Franklin	EEUU	Luz
	28	3	9	2025	5:18:00	Oswayo	EEUU	Luz
	28	3	9	2025	2:00:00	Cordele	EEUU	Luz
	28	2	9	2025	19:48:00	Anniston	EEUU	Luz
	28	1	9	2025	23:30:00	Longmont	EEUU	Luz
	26	1	9	2025	22:26:00	Olympia	EEUU	Luz
	26	1	9	2025	3:00:00	No especificado	No especificado	Luz
	24	31	8	2025	2:40	Ciudad Océano	EEUU	Luz
	24	29	8	2025	10:55	Valle de Simi	EEUU	Luz
	24	28	8	2025	23:03	Nuevo Tazewell	EEUU	Luz
	22	28	8	2025	4:10	Bangor	EEUU	Luz
	22	28	8	2025	3:30	Gran Repisa	EEUU	Luz
	21	28	8	2025	0:30	Saskatoon	Canadá	Luz
	21	26	8	2025	22:00	Söderhamn	Suecia	Luz
	21	26	8	2025	3:26	Homer Glen	EEUU	Luz
	21	24	8	2025	22:40	Hilton Head Island	EEUU	Luz
	20	24	8	2025	20:30	London	Reino Unido	Luz
	20	24	8	2025	5:15	Goleta	EEUU	Luz
	19	22	8	2025	11:05	San Jose	EEUU	Luz
	19	22	8	2025	0:15	Málaga	España	Luz
	17	21	8	2025	23:30	Mineral	EEUU	Luz
	16	21	8	2025	20:10	Oroville	EEUU	Luz
	16	21	8	2025	10:40	Kalamazoo	EEUU	Luz
	15	21	8	2025	4:45	Glasgow	EEUU	Luz
	14	20	8	2025	21:35	Waukee	EEUU	Luz
	13	20	8	2025	3:53	No especificado	Mali	Luz
	13	19	8	2025	21:05	Sarasota	EEUU	Luz
	13	19	8	2025	0:15	Blair	EEUU	Luz
	12	17	8	2025	23:17	Frankfurt am Main	Alemania	Luz
	12	16	8	2025	23:35	Caledon East	Canadá	Luz
	12	16	8	2025	23:00	Abergele	Reino Unido	Luz
	11	15	8	2025	9:35	Langdon Place	EEUU	Luz
	11	14	8	2025	23:23	Austin	EEUU	Luz
	11	13	8	2025	18:28	Leakey	EEUU	Luz
	10	13	8	2025	3:00	Nueva Iberia	EEUU	Luz
	9	13	8	2025	0:00	Atlanta	EEUU	Luz
	9	12	8	2025	21:40:00	Saybrook-on-the-Lake	EEUU	Luz
	8	12	8	2025	5:00:00	Poplar Bluff	EEUU	Luz
	6	12	8	2025	1:30:00	Oconomowoc	EEUU	Luz
	5	11	8	2025	23:45:00	Salisbury	EEUU	Luz
	4	11	8	2025	23:00:00	Kelowna	Canadá	Luz
	4	11	8	2025	7:00:00	Newark	EEUU	Luz
	4	10	8	2025	21:45:00	Rockford	EEUU	Luz
	3	9	8	2025	21:05:00	Colinas de Agoura	EEUU	Luz
	1	9	8	2025	1:20:00	Stilesville	EEUU	Luz
	31	8	8	2025	21:30:00	Spring Grove	EEUU	Luz
	30	6	8	2025	2:40:00	Nashville	EEUU	Luz
	30	5	8	2025	21:55:00	Missoula	EEUU	Luz
	30	4	8	2025	21:45:00	Colón	EEUU	Luz
	30	4	8	2025	4:00:00	Medford	EEUU	Luz
	28	4	8	2025	0:00:00	Adin	EEUU	Luz
	28	3	8	2025	0:58:00	Moscú	EEUU	Luz
	28	1	8	2025	1:20:00	Gilmour	Canadá	Luz
	28	31	7	2025	0:15	Golconda	EEUU	Luz
	26	30	7	2025	22:30	No especificado	Turquía	Luz
	26	30	7	2025	21:09	São Paulo	Brasil	Luz
	26	30	7	2025	18:12	Capalaba	Australia	Luz
	25	30	7	2025	4:02	Pocatello	EEUU	Luz
	25	28	7	2025	22:33	Newburgh	EEUU	Luz
	25	28	7	2025	22:20	Brampton	Canadá	Luz
	24	28	7	2025	20:39	Hampton Bays	EEUU	Luz
	23	28	7	2025	2:30	Mesa	EEUU	Luz
	22	26	7	2025	23:40	Albany	EEUU	Luz
	21	26	7	2025	19:30	Andilana	Madagascar	Luz
	20	26	7	2025	4:00	Albion	EEUU	Luz
	20	25	7	2025	23:30	Filadelfia	EEUU	Luz
	20	25	7	2025	21:52	Salem	EEUU	Luz
	19	25	7	2025	1:30	No especificado	Grecia	Luz
	19	24	7	2025	1:00	Siglo Nuevo	EEUU	Luz
	18	23	7	2025	20:42	Anaheim	EEUU	Luz
	18	22	7	2025	22:54	Perrysburg	EEUU	Luz
	17	21	7	2025	22:09	Bečej	Serbia	Luz
	16	20	7	2025	23:30	Clearwater	EEUU	Luz
	16	20	7	2025	3:00	København	Dinamarca	Luz
	16	20	7	2025	0:00	Oviedo	EEUU	Luz
	13	19	7	2025	21:41	Nueva Feria	EEUU	Luz
	12	19	7	2025	3:26	Glendale	EEUU	Luz
	11	18	7	2025	23:00	Talento	EEUU	Luz
	9	18	7	2025	3:40	Ammán	Jordan	Luz
	9	17	7	2025	14:00	Jequitinhonha	Brasil	Luz
	7	16	7	2025	23:38	Lakewood	EEUU	Luz
	6	16	7	2025	23:00	Ashland	EEUU	Luz
	5	16	7	2025	21:39	San Antonio	EEUU	Luz
	4	13	7	2025	2:00	Coinjock	EEUU	Luz
	4	12	7	2025	2:00:00	Los Banos	EEUU	Luz
	4	11	7	2025	0:19:00	Lowestoft	Reino Unido	Luz
	3	9	7	2025	21:30:00	Huntingdon	EEUU	Luz
	3	9	7	2025	1:15:00	Gosport	Reino Unido	Luz
	3	7	7	2025	11:33:00	Cranbourne West	Australia	Luz
	2	6	7	2025	21:25:00	Holly Hill	EEUU	Luz
	2	5	7	2025	22:15:00	Wheat Ridge	EEUU	Luz
	2	4	7	2025	23:06:00	Lineville	EEUU	Luz
	1	4	7	2025	22:00:00	Burnsville	EEUU	Luz
	30	4	7	2025	0:03:00	Plymouth	Reino Unido	Luz
	30	3	7	2025	23:40:00	Lopatino	Rusia	Luz
	29	3	7	2025	22:35:00	Costa del Sol	Australia	Luz
	29	3	7	2025	1:06:00	Chicago	EEUU	Luz
	28	2	7	2025	17:30:00	Nottingham	EEUU	Luz
	28	2	7	2025	4:09:00	Desagüe	EEUU	Luz
	28	2	7	2025	2:08:00	Swindon	Reino Unido	Luz
	28	1	7	2025	2:00:00	Glasgow	Reino Unido	Luz
	28	30	6	2025	23:15	Layton	EEUU	Luz
	26	30	6	2025	21:24	San Antonio	EEUU	Luz
	26	29	6	2025	20:40	Curitiba	Brasil	Luz
	25	29	6	2025	2:45	New Milford	EEUU	Luz
	23	28	6	2025	23:59	Arroyo Fall	EEUU	Luz
	23	28	6	2025	22:48	Fuerte Gibson	EEUU	Luz
	21	28	6	2025	22:23	Irwindale	EEUU	Luz
	20	28	6	2025	22:10	Bakersfield	EEUU	Luz
	19	28	6	2025	3:09	Boise	EEUU	Luz
	19	26	6	2025	21:10	Serra Talhada	Brasil	Luz
	17	26	6	2025	4:06	Ciudad del Lago Havasu	EEUU	Luz
	16	25	6	2025	3:00	Moore Haven	EEUU	Luz
	13	23	6	2025	23:40	Pointe-Claire	Canadá	Luz
	13	23	6	2025	5:34	Dayton	EEUU	Luz
	12	21	6	2025	21:56	Hartland	EEUU	Luz
	11	20	6	2025	4:57	Woodland Park	EEUU	Luz
	10	19	6	2025	22:00	Nashville	EEUU	Luz
	9	19	6	2025	21:45	Nashville	EEUU	Luz
	9	17	6	2025	22:20	Anacortes	EEUU	Luz
	8	16	6	2025	2:15	Spruce Grove	Canadá	Luz
	3	13	6	2025	22:40	Bhopal	India	Luz
	3	13	6	2025	0:00	Westward Ho!	Reino Unido	Luz
	2	12	6	2025	22:48:00	Bellingham	EEUU	Luz
	2	11	6	2025	23:30:00	Bexhill	Reino Unido	Luz
	2	10	6	2025	0:00:00	Rifle	EEUU	Luz
	1	9	6	2025	20:20:00	Legana	Australia	Luz
	30	9	6	2025	18:50:00	Rust de Winter	Sudáfrica	Luz
	27	8	6	2025	23:00:00	Blue Ridge	EEUU	Luz
	26	3	6	2025	22:00:00	Bubesheim	Alemania	Luz
	26	3	6	2025	0:30:00	Xenia	EEUU	Luz
	25	2	6	2025	21:07:00	San Antonio de Encinas	México	Luz
	25	2	6	2025	18:15:00	Hamilton	Nueva Zelanda	Luz
	25	2	6	2025	1:04:00	Lápida	EEUU	Luz
	24	1	6	2025	4:49:00	No especificado	Australia	Luz
	23	30	5	2025	23:53	Axson	EEUU	Luz
	23	27	5	2025	23:42	No especificado	No especificado	Luz
	22	26	5	2025	22:15	Warren	EEUU	Luz
	22	26	5	2025	20:00	Brooksville	EEUU	Luz
	22	25	5	2025	20:28	No especificado	Reino Unido	Luz
	18	25	5	2025	15:00	Ballito	Sudáfrica	Luz
	18	25	5	2025	0:30	Kirishima	Japón	Luz
	18	24	5	2025	23:59	Mary Esther	EEUU	Luz
	18	23	5	2025	23:45	Cugnasco-Gerra	Suiza	Luz
	17	23	5	2025	20:24	Bisbee	EEUU	Luz
	17	22	5	2025	23:00	Yankeetown	EEUU	Luz
	17	22	5	2025	22:30	Iberostar	México	Luz
	15	22	5	2025	1:46	Tarkio	EEUU	Luz
	15	18	5	2025	23:50	No especificado	Aguas Internacionales	Luz
	14	18	5	2025	21:50	Datil	EEUU	Luz
	14	18	5	2025	18:00	Árbol de repollo	Australia	Luz
	13	18	5	2025	4:36	Williamsburg	EEUU	Luz
	12	17	5	2025	23:58	Ste Anne	Canadá	Luz
	12	17	5	2025	0:25	Lago de Jabón	EEUU	Luz
	10	17	5	2025	0:00	Chirk	Reino Unido	Luz
	10	15	5	2025	20:40	No especificado	EEUU	Luz
	9	15	5	2025	0:00	Hyderabad	India	Luz
	8	14	5	2025	22:40	Hialeah	EEUU	Luz
	8	14	5	2025	3:00	Alderholt	Reino Unido	Luz
	7	13	5	2025	22:20	Cracovia	Polonia	Luz
	6	12	5	2025	23:22:00	Halifax	Canadá	Luz
	6	12	5	2025	21:00:00	Lawrence	EEUU	Luz
	6	10	5	2025	23:45:00	Portadown	Reino Unido	Luz
	6	10	5	2025	0:18:00	Colorado Springs	EEUU	Luz
	6	9	5	2025	22:51:00	Arncott Superior	Reino Unido	Luz
	5	8	5	2025	22:39:00	Hailey	EEUU	Luz
	5	8	5	2025	1:00:00	Independencia	EEUU	Luz
	5	7	5	2025	4:37:00	Farmington	EEUU	Luz
	3	6	5	2025	22:00:00	Fredericksburg	EEUU	Luz
	3	6	5	2025	22:00:00	Centro	EEUU	Luz
	3	6	5	2025	21:51:00	San Antonio	EEUU	Luz
	3	6	5	2025	20:49:00	Valle Feliz	EEUU	Luz
	2	6	5	2025	19:48:00	Tucson	EEUU	Luz
	1	5	5	2025	23:00:00	Herzliya	Israel	Luz
	1	5	5	2025	4:00:00	Los Mochis	México	Luz
	1	5	5	2025	0:30:00	Liberal	EEUU	Luz
	1	3	5	2025	22:00:00	Quinte West	Canadá	Luz
	30	3	5	2025	21:30:00	Herzliya	Israel	Luz
	29	3	5	2025	20:30:00	Santa Cruz	Filipinas	Luz
	29	3	5	2025	1:00:00	Valle de Moapa	EEUU	Luz
	28	2	5	2025	0:06:00	Timmins	Canadá	Luz
	28	1	5	2025	22:32:00	Boambee Este	Australia	Luz
	27	1	5	2025	22:28:00	Los Ángeles	EEUU	Luz
	27	1	5	2025	20:30:00	Manantiales de Borrego	EEUU	Luz
	24	1	5	2025	3:12:00	Nuevo Vallarta	México	Luz
	24	30	4	2025	21:16	Pinebluff	EEUU	Luz
	23	29	4	2025	22:00	Holywell	Reino Unido	Luz
	21	29	4	2025	20:40	Mansfield	EEUU	Luz
	21	28	4	2025	23:26	Dayton	EEUU	Luz
	20	28	4	2025	20:58	Portland	EEUU	Luz
	19	27	4	2025	18:30	Norwalk	EEUU	Luz
	18	27	4	2025	17:50	Arnold	EEUU	Luz
	16	24	4	2025	21:00	Veintinueve Palmas	EEUU	Luz
	15	24	4	2025	20:24	Goodyear	EEUU	Luz
	15	23	4	2025	22:32	Albion	EEUU	Luz
	13	21	4	2025	19:46	Roswell	EEUU	Luz
	13	21	4	2025	19:45	Bellview	EEUU	Luz
	12	20	4	2025	5:00	Herkimer	EEUU	Luz
	12	19	4	2025	21:28	Leavenworth	EEUU	Luz
	12	18	4	2025	21:15	Benson	EEUU	Luz
	12	16	4	2025	21:30	Batesville	EEUU	Luz
	12	15	4	2025	20:38	Lago Oswego	EEUU	Luz
	12	15	4	2025	20:34	Anacortes	EEUU	Luz
	12	13	4	2025	21:37	Topanga	EEUU	Luz
	12	13	4	2025	20:40	Curva	EEUU	Luz
	12	12	4	2025	22:55:00	Norwood	EEUU	Luz
	11	12	4	2025	21:31:00	Abilene	EEUU	Luz
